date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:17:58	259384/259384	---M--	200	added ('OK')	image/jpeg	etag:%222def43f3b882d61:0%22	http://masterpay.in.net/template/img/ef6baad7f33.jpg	C:/My%20Web%20Sites/masterpay/masterpay.in.net/template/img/ef6baad7f33.jpg	(from http://masterpay.in.net/)
08:18:07	377476/377476	---M--	200	added ('OK')	image/png	etag:%2267b7dc769062d61:0%22	http://masterpay.in.net/template/img/96c255ffd6logo.png	C:/My%20Web%20Sites/masterpay/masterpay.in.net/template/img/96c255ffd6logo.png	(from http://masterpay.in.net/)
08:18:08	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Sep%202020%2002:48:25%20GMT	http://masterpay.in.net/js/masterslider/blank.gif	C:/My%20Web%20Sites/masterpay/masterpay.in.net/js/masterslider/blank.1b.delayed	(from http://masterpay.in.net/)
08:18:09	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Sep%202020%2002:48:26%20GMT	http://masterpay.in.net/services.php	C:/My%20Web%20Sites/masterpay/masterpay.in.net/services.1c.delayed	(from http://masterpay.in.net/)
08:18:11	6445/6445	---M--	200	added ('OK')	image/png	etag:%2249f4fbcaa51fd61:0%22	http://masterpay.in.net/images/airtel.png	C:/My%20Web%20Sites/masterpay/masterpay.in.net/images/airtel.png	(from http://masterpay.in.net/)
08:18:13	192186/192186	---M--	200	added ('OK')	image/jpeg	etag:%2257814033b982d61:0%22	http://masterpay.in.net/template/img/833ac933542.jpg	C:/My%20Web%20Sites/masterpay/masterpay.in.net/template/img/833ac933542.jpg	(from http://masterpay.in.net/)
08:18:13	7977/7977	---M--	200	added ('OK')	image/png	etag:%22bfc2c5d4a51fd61:0%22	http://masterpay.in.net/images/reliancegsm.png	C:/My%20Web%20Sites/masterpay/masterpay.in.net/images/reliancegsm.png	(from http://masterpay.in.net/)
08:18:16	10289/10289	---M--	200	added ('OK')	image/png	etag:%2247c24cba51fd61:0%22	http://masterpay.in.net/images/aircel.png	C:/My%20Web%20Sites/masterpay/masterpay.in.net/images/aircel.png	(from http://masterpay.in.net/)
08:18:16	6218/6218	---M--	200	added ('OK')	image/png	etag:%225deb61d1a51fd61:0%22	http://masterpay.in.net/images/idea.png	C:/My%20Web%20Sites/masterpay/masterpay.in.net/images/idea.png	(from http://masterpay.in.net/)
08:18:17	4964/4964	---M--	200	added ('OK')	image/png	etag:%2210601dd3a51fd61:0%22	http://masterpay.in.net/images/mts.png	C:/My%20Web%20Sites/masterpay/masterpay.in.net/images/mts.png	(from http://masterpay.in.net/)
